Resort_Name,Caption,Caption_Hashtags,Timestamp,User_Id,Likes
kirkwoodskiresort,"#kirkwood #freshpowder #fun #breithaupt #kirkwoodskiresort 
#adrenalinejunkie #adventure #filmmaker #filmproduction #sierra 
#mountain #boarding #southshore #cinematographer #gopro #happy #directorofphotography #powder
#lifeisawesome #tahoe #california #skiing #adrenalinenetwork #snow #cinematography #videoproduction",kirkwood|freshpowder|fun|breithaupt|kirkwoodskiresort|adrenalinejunkie|adventure|filmmaker|filmproduction|sierra|mountain|boarding|southshore|cinematographer|gopro|happy|directorofphotography|powder|lifeisawesome|tahoe|california|skiing|adrenalinenetwork|snow|cinematography|videoproduction,2020-04-20 03:24:06,billbreithaupt,12
kirkwoodskiresort,"Snowboarding at Kirkwood Ski Resort with Bill Breithaupt. 
#snowboarding #freshpowder #fun #kirkwoodskiresort #tahoe #skiing #california #snowboarding #sierra #mountain #boarding #southshore 
#breithaupt #director #aquaburn #filmmaker #filmproduction #cold #cinematography #adrenalinejunkie #adventure #adrenalinenetwork #nature #outdoors #spirtual #happy",snowboarding|freshpowder|fun|kirkwoodskiresort|tahoe|skiing|california|snowboarding|sierra|mountain|boarding|southshore|breithaupt|director|aquaburn|filmmaker|filmproduction|cold|cinematography|adrenalinejunkie|adventure|adrenalinenetwork|nature|outdoors|spirtual|happy,2020-04-20 02:19:25,billbreithaupt,23
northstarattahoe,"Beautiful bronze sculpture, “Celebration” by Carol Gold. Limited edition number 6 of 10, measures 22” tall. “I sculpt in wax, then cast into bronze. I have chosen to work with human and animal forms to best express my feelings about nature and the human condition. I strive to convey a mood as well as create a sense of motion in space. Through the years my sculpture has moved in the direction of increasing simplicity.”-Carol Gold

Gallery Price-$4,200 (last photo)
Our eBay price-$2,500
Truckee Local price-$1,750

#truckeeantiques #carolgold #celebration #bronzesculpture #fineart #limitededition #art #artsculpture #lostwaxcasting #waxsculpture #humanform #humanformart #bronzecasting #galleryart #artdealer #dealoftheday #americanpickers #pawnstars #picking #antiques #ebayseller #ebay #dancingart #truckee #laketahoe #martiscamp #lahontan #schaffersmill #squawvalley #northstarattahoe",truckeeantiques|carolgold|celebration|bronzesculpture|fineart|limitededition|art|artsculpture|lostwaxcasting|waxsculpture|humanform|humanformart|bronzecasting|galleryart|artdealer|dealoftheday|americanpickers|pawnstars|picking|antiques|ebayseller|ebay|dancingart|truckee|laketahoe|martiscamp|lahontan|schaffersmill|squawvalley|northstarattahoe,2020-04-17 15:01:19,truckee_antiques,10
northstarattahoe,"Looking for a Venue for your Welcome Reception, Rehearsal Dinner, After Party or Corporate outing! We have the perfect venues to accommodate all your event needs! (Photo featuring #alpineclub) 
PHOTOGRAPHY l @chrisbeckphotography",alpineclub,2020-04-16 00:10:56,tahoemountainevents,13
northstarattahoe,It’s hard to get these special moments alone on your wedding day when it’s just the two of you enjoying your venue and view at 7900’. A beautiful moment captured by @lindseydenmanphoto at #schafferscamp venue.,schafferscamp,2020-04-14 23:45:47,tahoemountainevents,35
sierraattahoe,"What was meant to be a two day snowboarding trip with the cuz @1992much was cut down to one when heavy snowfall closed #sierraattahoe for a day. We still managed to find some stairs to throw ourselves down and there was plenty of pow the next day to throw ourselves into - @rhodyadams
-
Full video:
https://youtu.be/4tmCd6thlvA
-
#freshpow #snowboardingtrip #snowboarding #snow #southlaketahoe",sierraattahoe|freshpow|snowboardingtrip|snowboarding|snow|southlaketahoe,2020-04-21 04:39:57,rhodyadams,4
sierraattahoe,"Back when @1992much and I were throwing ourselves down some stairs. Full video link in description. Good times.
-
#snowday #snowboarding #freshpow #sierraattahoe #skiresort",snowday|snowboarding|freshpow|sierraattahoe|skiresort,2020-04-21 04:29:42,rhodyadams,42
sierraattahoe,"Last years snowball fight @sierra_at_tahoe #missyou
.
.
.

#lobsnotlazers #verticalplus #passhold #apperication #gaperday #happyholiday #springtime #sierraattahoe #bestview #tahoesnaps #tahoesouth #laketahoe #friends #jonessnowboards #wearesherpa #stayoutthere #newseason #sierrarulznumber1 #healthy #safe",missyou|lobsnotlazers|verticalplus|passhold|apperication|gaperday|happyholiday|springtime|sierraattahoe|bestview|tahoesnaps|tahoesouth|laketahoe|friends|jonessnowboards|wearesherpa|stayoutthere|newseason|sierrarulznumber1|healthy|safe,2020-04-20 16:18:14,kevinsuarte,54
sierraattahoe,"Remember when you had to wait in line to enter the ski resort?! .
.
.
#explore #explorerpage #liveoutside #adventureout #wildernessculture #neverstopexploring #tahoesouth #renotahoe #southlaketahoe #keeptahoeblue #landscapephotography #ski #snowboarding  #tahoe_landscapes #california #northerncalifornia #sierraattahoe  #wintervibes #stayandwander #landscape_photo #canonphoto #cold_places #leadinglines_photography 
#skiresort #landscapephotog #outdoorphotog",explore|explorerpage|liveoutside|adventureout|wildernessculture|neverstopexploring|tahoesouth|renotahoe|southlaketahoe|keeptahoeblue|landscapephotography|ski|snowboarding|tahoe_landscapes|california|northerncalifornia|sierraattahoe|wintervibes|stayandwander|landscape_photo|canonphoto|cold_places|leadinglines_photography|skiresort|landscapephotog|outdoorphotog,2020-04-20 00:51:13,ctrlaltlandscapes,42
sodasprings,“Love is a canvas furnished by nature and embroidered by the imagination.”- Voltaire #rainbowlodgecalifornia #rainbowlodgewedding,rainbowlodgecalifornia|rainbowlodgewedding,2020-04-22 00:02:56,rainbowlodgeca,10
sodasprings,"SODA SPRINGS WATERFALL taken at Tongariro Alpine Crossing, North  Island of New Zealand.  You can purchase this photo in my store here - https://quackproductions.picfair.com. Or follow link in my bio. Prints & Downloads available. #sodasprings #sodaspringsnz #waterfall #waterfallsofinstagram #tongariro #tongariroalpinecrossing #tongarironationalpark #picfair  #newzealand #nz #gonewzealand #nationalgeography #ilovenewzealand #walkingnewzealand #moody #adventures #holiday #travel #travelphotography #canon5dmarkiv #northislandnewzealand #northisland #northislandnz #newzealandgeographic #instagood #instadaily #summer #water #hikesofinstagram #prints",sodasprings|sodaspringsnz|waterfall|waterfallsofinstagram|tongariro|tongariroalpinecrossing|tongarironationalpark|picfair|newzealand|nz|gonewzealand|nationalgeography|ilovenewzealand|walkingnewzealand|moody|adventures|holiday|travel|travelphotography|canon5dmarkiv|northislandnewzealand|northisland|northislandnz|newzealandgeographic|instagood|instadaily|summer|water|hikesofinstagram|prints,2020-04-21 08:34:43,qp_ph0tography,44
sodasprings,Burnt orange hues. #rainbowlodgecalifornia #rainbowlodgewedding,rainbowlodgecalifornia|rainbowlodgewedding,2020-04-21 00:12:08,rainbowlodgeca,11
sodasprings,The world through ears of a horse. Love quality time with my yellow boy.,,2020-04-19 18:13:13,matchbox_girl,4
tahoedonner,"As the seasons change so do the sports! With the snow slowly melting the trails in Tahoe Donner have been providing the perfect social distancing activity, how fun does this look! -
-
-
-
-
#truckee #tahoedonner #truckeelife #tahoe #tahoelife #mountainbike #mountainbiking #enduromtb",truckee|tahoedonner|truckeelife|tahoe|tahoelife|mountainbike|mountainbiking|enduromtb,2020-04-21 20:05:38,eldergrouptahoerealestate,8
tahoedonner,"With the official Earth Day celebration happening tomorrow, I wanted to share additional air quality improvement photos from around the world.

Because of COVID-19, the earth has been able to press the reset button. There's been record-low oil consumption and astonishing air quality improvement.

The Himalayas are now visible from Nepal and India for the first time in many, many years. This is one unexpected, yet positive aspect of the quarantine. My hope is that this improvement will encourage us all to pay more attention to the quality of the air and to celebrate the earth with each day as opposed to just once a year.

#truckee #truckeelove #truckeeriver #truckeelife #truckeehomes #truckeerealestate #truckeelifestyle #truckeefood #truckeeevents #truckeerealtor #laketahoe #laketahoelife #laketahoerealestate
#northlaketahoe #northlaketahoerealestate #tahoerealtor #tahoehomes
#tahoefoodie #kingsbeach #tahoecity#squawvalley #squawalpine #squaw
#skisquaw #northstar #inclinevillage #earthday #tahoedonner
#martiscamp #96161",truckee|truckeelove|truckeeriver|truckeelife|truckeehomes|truckeerealestate|truckeelifestyle|truckeefood|truckeeevents|truckeerealtor|laketahoe|laketahoelife|laketahoerealestate|northlaketahoe|northlaketahoerealestate|tahoerealtor|tahoehomes|tahoefoodie|kingsbeach|tahoecity|squawvalley|squawalpine|squaw|skisquaw|northstar|inclinevillage|earthday|tahoedonner|martiscamp|96161,2020-04-21 19:25:29,homemeanstruckee.tahoe,14
tahoedonner,"Finishing up...or almost finishing up our install today and finishing touches are being implemented. Furnishing installations take months to source, prepare for, and realize and we are thankful to see how this home is coming together!",,2020-04-21 18:01:01,alt.designtruckee,52
tahoedonner,"Alli Richardson starts up her study in Colossians! Please note the new link listed below, you can also FB search “Encouragement In Christ” We can’t wait to dive into the word with you and see The supremacy of Christ over spiritual forces and the earth, the gospel, and new life in Christ! Wednesday’s 6:30pm 🙌🏻 https://m.facebook.com/dailyencouragments20",,2020-04-21 17:31:01,sierrabible,9
bearvalley,"Following my first IGTV post showing how I transformed a client's product shot from plain image to an impact full ad, here I show the second part where I combined the individual products and create a group shot that still retains the powerful marketing message despite the extra information.

#graphicdesign #freelancedesigner #digitaldesign #clothingbrand #photoshop #illustrator #design #palmabay #palmabaycreative #designer #designagency #fashiondesign #arborist #bearvalleyco #bearvalley #treesurgeon #designvideo #igtv #igtvchannel",graphicdesign|freelancedesigner|digitaldesign|clothingbrand|photoshop|illustrator|design|palmabay|palmabaycreative|designer|designagency|fashiondesign|arborist|bearvalleyco|bearvalley|treesurgeon|designvideo|igtv|igtvchannel,2020-04-21 11:53:23,palmabaycreative,5
bearvalley,Chopping it up! Stihl MS461 🪓 🪓 🪓 #troisfeuilleselagage #bearvalley #treeclimber #treeservice #treefelling #climbingarborist #arbdogs #trädfällning #trädvård #treesurgery #arboristsofinstagram #teufelberger  #treecutting #arboristlife #arborist #climbinglife #forestry #lumberjack #greenmech #logging #madeforthis #arboriculture #treecare #treesurgeon #femalearborist #elagage #arbgirl #protos #huskvarna #treeworker,troisfeuilleselagage|bearvalley|treeclimber|treeservice|treefelling|climbingarborist|arbdogs|trädfällning|trädvård|treesurgery|arboristsofinstagram|teufelberger|treecutting|arboristlife|arborist|climbinglife|forestry|lumberjack|greenmech|logging|madeforthis|arboriculture|treecare|treesurgeon|femalearborist|elagage|arbgirl|protos|huskvarna|treeworker,2020-04-21 11:32:03,troisfeuilleselagage,505
bearvalley,marsh view.,,2020-04-21 06:56:57,smorgasborgeson,71
bearvalley,"Living in Bear Valley is everything to me! I love it  so much that I choose a life with many days of  solidarity from people I love dearly. I do miss my besties and family often! These unicorns have been my diamonds through incredible lifelong journeys! Three sisters + 9 besties. I miss them all so much! Always in my heart everyday. Can’t wait for a vacay with this crew! Let’s make it happen in the near future ladies @jennaphillipsballard @tmoneeyyy_ @tamer_of_mountains @foxyoxy25 @laurenabraham @ariellehm @aefitzpat @briannamstehlik & the non instagramers Daphne, Tesia, Amelia & Ana! I can also think of about another 20 + awesome women who will want a much needed getaway! Girls retreat in the future! A retreat at my moms villas in Markleeville? Or Sedona? Joshua Tree? Somewhere spiritual and magical! I mean Burning Man is out this year... but these girls are on fire🔥 let’s create something awesome and keep lighting up this life!! #bff #sisters #unicorns #alwaystogether #memorylane #chicksthatrock #bearvalley #lifesajourney #crew",bff|sisters|unicorns|alwaystogether|memorylane|chicksthatrock|bearvalley|lifesajourney|crew,2020-04-21 05:43:37,lauren_schimke,44
dodgeridge,"Nature's Whole Food Depot is a small business that is open & stocks healthy food, vitamins, Elderberry everything and an awesome nursery featuring native plants. It's right here in Standard across from the @thestandardpoursonora 🍺
Thanks for the post @keverne_denahan from @kardzee
Stay healthy and safe everyone. Looking forward to business as usual.  Here if you need me. 😷⬆️
#wereallinthistogether #staysafeeveryone 
#healthfoodstore #elderberry #tuolumnecounty 👩🏼‍🌾🥬🏠
“Guiding You to Your Next Home.”
.
.
.
.
#kathieburbyrealtor  #countryliving #sonoraca #goldcountry #mountainliving #homebuyers  #motherloderealtor  #foreverhome  #buyersagent #sellersagent #highway108 #investmentproperty #mountainhome #vacationhome  #sfbayarea #trivalley  #firsttimehomebuyer  #sacramentocounty #centralvalley #trivalley #pinecrestlake #miwukvillage #twainharteca #dodgeridge",wereallinthistogether|staysafeeveryone|healthfoodstore|elderberry|tuolumnecounty|kathieburbyrealtor|countryliving|sonoraca|goldcountry|mountainliving|homebuyers|motherloderealtor|foreverhome|buyersagent|sellersagent|highway108|investmentproperty|mountainhome|vacationhome|sfbayarea|trivalley|firsttimehomebuyer|sacramentocounty|centralvalley|trivalley|pinecrestlake|miwukvillage|twainharteca|dodgeridge,2020-04-21 22:15:48,kathieburbyrealtor,13
dodgeridge,"DODGE RIDGE SKIERS + RIDERS PHOTO ALBUM
Day 2 of 7
---------------------
Continuing on with our showcase of Dodge Ridge Skiers + Riders. Here’s another set of photos from the hundreds submitted by our community. We hope you’re enjoying these photos as much as we are. It’s great to see so many who share our passion.

We’ll continue to send some smiles your way with a small collection of photos to enjoy each day for the week ahead... Feel free to IG Message us with your photos to keep the album growing!

Early Bird Season Pass pricing extended through Sunday, May 3. Use the link in our profile for complete details or give us a call 7 days a week at (209) 965-3474.

#dodgeridge #skicalifornia #familyowned #familyloved #ski #snowboard #visittuolumnecounty #twainharteca #sonoraca #pinecrestca #tuolumnecounty #livewhereyouplay #livewhereyouvacation #winteractivities #wintersports #skiseason",dodgeridge|skicalifornia|familyowned|familyloved|ski|snowboard|visittuolumnecounty|twainharteca|sonoraca|pinecrestca|tuolumnecounty|livewhereyouplay|livewhereyouvacation|winteractivities|wintersports|skiseason,2020-04-21 21:27:58,dodgeridge,442
dodgeridge,"DODGE RIDGE SKIERS + RIDERS PHOTO ALBUM
Day 1 of 7
---------------------
We recently asked our community of skiers and riders to share some of their favorite photo memories from this season. The response has been overwhelming and we would like to thank everyone for the hundreds of heartwarming photo submissions. It means everything for us to be part of your winter and the moments of joy you shared with us, gave us joy too.

We thought we might send some smiles your way with a small collection of these photos each day for the week ahead to enjoy... Feel free to IG Message us with your photos to keep the album growing!

#dodgeridge #skicalifornia #familyowned #familyloved #ski #snowboard #visittuolumnecounty #twainharteca #sonoraca #pinecrestca #tuolumnecounty #livewhereyouplay #livewhereyouvacation #winteractivities #wintersports #skiseason",dodgeridge|skicalifornia|familyowned|familyloved|ski|snowboard|visittuolumnecounty|twainharteca|sonoraca|pinecrestca|tuolumnecounty|livewhereyouplay|livewhereyouvacation|winteractivities|wintersports|skiseason,2020-04-20 22:39:18,dodgeridge,584
dodgeridge,#ski #skull #bones #bandanabob #dodgeridge #pinecrest #california #snow #wayoflife #greatfuldead,ski|skull|bones|bandanabob|dodgeridge|pinecrest|california|snow|wayoflife|greatfuldead,2020-04-20 03:21:21,nielsjr90,8
junemountain,"It feels like spring today and this small gem certainly captures that feeling! Greens are popping while snow lingers up high. Available online at monoarts.org/store.html for $55 by talented local, Julie Rolfe! Shop and support MAC and our local artists. #monoartscouncil #junelake #localart #watercolor #ink #junemountain #easternsierra #monocounty",monoartscouncil|junelake|localart|watercolor|ink|junemountain|easternsierra|monocounty,2020-04-19 21:04:15,monoartscouncil,40
junemountain,"Chairlift views @junemountain. Never skied there prior to this year but it quickly became one of my favorite destinations on the @ikonpass. Can’t wait till next season!! #quarantinenowskilater 
#live2ski #skiing⛷ #snowsports #skier #skiing #skiing🎿 #snow #winter #mountains #ski #junemountain #skiingislife #backcountryskiing #wintersport #winterwonderland #skilife #alpineskiing  #adventure #loveskiing #mountainlife #junelake #wintersports #skiingisawesome #skiingday #getoutside #ikonpass  #skicalifornia #instagood #snowsports #skiingfun",quarantinenowskilater|live2ski|skiing|snowsports|skier|skiing|skiing|snow|winter|mountains|ski|junemountain|skiingislife|backcountryskiing|wintersport|winterwonderland|skilife|alpineskiing|adventure|loveskiing|mountainlife|junelake|wintersports|skiingisawesome|skiingday|getoutside|ikonpass|skicalifornia|instagood|snowsports|skiingfun,2020-04-19 20:09:07,felix_eduardo88,45
junemountain,"Couldn't pass up a reason to recognize #nationalhusbandappreciationday. I could seriously not get through #quarantine and life in general without this guy by my side. I love you hubby! ❤️
.
Also, these amazing photos were taken by @photosby_olga .
.
.
73/365 ↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟↟
#hubbyappreciation #weddingphotos #junemountainwedding #junelakewedding #diywedding #diyweddingideas #mountainwedding #junebugweddings #renophotographer #weddingphotography #wedding #weddingphotographer #renoweddingphotographer #nnvphotographers #weddingblog #mountaintopwedding #nevadaphotographer #dirtybootsandmessyhair #dirtybootsmessyhair #renocreatives #renoblogger #photoadaychallenge #photoaday #junemountain #junelake #loveoverfear #breaktheclouds #meetthebartletts",nationalhusbandappreciationday|quarantine|hubbyappreciation|weddingphotos|junemountainwedding|junelakewedding|diywedding|diyweddingideas|mountainwedding|junebugweddings|renophotographer|weddingphotography|wedding|weddingphotographer|renoweddingphotographer|nnvphotographers|weddingblog|mountaintopwedding|nevadaphotographer|dirtybootsandmessyhair|dirtybootsmessyhair|renocreatives|renoblogger|photoadaychallenge|photoaday|junemountain|junelake|loveoverfear|breaktheclouds|meetthebartletts,2020-04-18 20:59:34,breakthecloudsphoto,31
junemountain,"I love social distancing!  Been doing it for years!
This is what it’s like when you have the entire mountain to yourself.
 Not having to worry about someone cutting you off during speed runs is such an awesome feeling.
.
.

#junemountain #mammothmountain #snowboarding #snowboardlife #burton #doc43 #43 #fortythree #oakley #oakleygoggles #speedrun #gofast #gooutside #outdoors #snow #gopro #socialdistancing #keepyourdistance #dontbeafraid #turnoffthetv #gooutandlive",junemountain|mammothmountain|snowboarding|snowboardlife|burton|doc43|43|fortythree|oakley|oakleygoggles|speedrun|gofast|gooutside|outdoors|snow|gopro|socialdistancing|keepyourdistance|dontbeafraid|turnoffthetv|gooutandlive,2020-04-18 15:47:37,sergiorueda43,80
chinapeak,"Nainital is one of the most beautiful hill stations in North India and commonly known as ""The lake city of India"".
It's located at an altitude of approximately 2,084 meters above the sea level.
The town is famous for its various natural attractions and favorable climate all year.
.
#himalayantripsindia
#himalayantripsindiacommunity #chinapeak
#nainital #nainitaldiaries #nainitaltrip #uttarakhand #lakecity #lake #incredibleuttrakhand #india #incredibleindia #himalayas #indiapictures #streatsofourworld #coloursofindia #explorerealindia #travelrealuttarakhand #americanblogger #america #Americatravellers #australiantraveller #australianblogger #australiagram#kumaon #devbhoomi #uttarakhandtourism #incredibleindia #pahadi",himalayantripsindia|himalayantripsindiacommunity|chinapeak|nainital|nainitaldiaries|nainitaltrip|uttarakhand|lakecity|lake|incredibleuttrakhand|india|incredibleindia|himalayas|indiapictures|streatsofourworld|coloursofindia|explorerealindia|travelrealuttarakhand|americanblogger|america|americatravellers|australiantraveller|australianblogger|australiagram|kumaon|devbhoomi|uttarakhandtourism|incredibleindia|pahadi,2020-04-22 03:25:14,himalayantripsindia,30
chinapeak,"Face the #wild or face away,
The #greens will grow on.
.
.
.
Pic: A fallen #tree that's still growing near the top of #chinapeak . Thanks for the #awesome tee #ih .
.
.
And what is that pose even called?
.
PC :@itstanyajoshi
.
.
.
.
#Edits: Used the #selectiveediting #feature in #lr to get this #dualtone of #bnw and #vibrant green. .
.
.
.
.
.
.
.
.
#lrpresets #nainitaldiaries #greenhell #forestphotography #panda #climbersofinstagram #naturepics #himalayan #uttarakhand #trek #dayhike #writerscommunity #tripotocommunity #trellcommunity #photooftheday #likeforlikes #followforfollowback",wild|greens|tree|chinapeak|awesome|ih|edits|selectiveediting|feature|lr|dualtone|bnw|vibrant|lrpresets|nainitaldiaries|greenhell|forestphotography|panda|climbersofinstagram|naturepics|himalayan|uttarakhand|trek|dayhike|writerscommunity|tripotocommunity|trellcommunity|photooftheday|likeforlikes|followforfollowback,2020-04-21 12:24:13,gh_um_akkad,41
chinapeak,"Social Distancing 🦠
•
@romesnowboards @mountainvibez @unionbindingco @crabgrab @adidassnowboarding",,2020-04-20 18:58:38,shinoders7,202
chinapeak,"Finally got a chance to hit Shaver Lake for some twistys 🏔 Car grips amazing around curves even in wet conditions 🛣 need a GoPro bad .
.
Video credit - @tiffic_ ❤️
.
.
#tougerunners #ctr #fk8club_ #shaverlake #chinapeak #mountainrun #championshipwhite #typerowners #tougejdm",tougerunners|ctr|fk8club_|shaverlake|chinapeak|mountainrun|championshipwhite|typerowners|tougejdm,2020-04-20 04:07:01,fk8__eddie,61
altasierra,"SENIORRSSS!🎓 This post is for YOU!

I can not imagine what you’re feeling. & I am so so so sorry that your final year got ripped away from you.

To try to shed some light, I am offering 50% off for any seniors that still need senior portraits!! I feel this is the least I can do for you all. You guys really do deserve some beautiful photos!

Tag any seniors you know below!!🧡🧡",,2020-04-21 02:04:23,kailachristinephotography,91
altasierra,"La cuarentena con vino es mejor 🍷🏡
#SierraLuna #vino #vinoMexicano #AltaSierra #instawine",sierraluna|vino|vinomexicano|altasierra|instawine,2020-04-20 17:42:44,vinicolamx,9
altasierra,Sick and tired of your #crib? Call us! We are showing and #selling #RealEstate #getmeout #sellmyhouse #househunting #moving #norcal #thelookyloo #grass valley #altasierra #roseville #loomis #auburn #sacramento #granitebay #folsom #lakewildwood #colfax,crib|selling|realestate|getmeout|sellmyhouse|househunting|moving|norcal|thelookyloo|grass|altasierra|roseville|loomis|auburn|sacramento|granitebay|folsom|lakewildwood|colfax,2020-04-18 06:46:42,tamiandrealestate,7
